Region,Status,Population,SNP,Family,Age_SD,Ageatmaturity,Length_SD,Finallength,Growth_SD,growthrate3mm,inverseloggrowth,inversesqrtage,Familymeans_age,Familymeans_length,Familymeans_growth
 , , , , , , , , , , , , , , , 
South,Native,AlexIsoetes, ,AI1, , , , , , , , ,273,4.735,.0200025
South,Native,AlexIsoetes, ,AI1, , , , , , , , ,273,4.735,.0200025
South,Native,AlexIsoetes, ,AI1, ,201, ,4.351, ,.028302,-.280518851728233,.0705345615858598,273,4.735,.0200025
South,Native,AlexIsoetes, ,AI1, ,215, , , ,.022388,-.26321121731529,.0681994339470473,273,4.735,.0200025
South,Native,AlexIsoetes, ,AI1, ,220, ,5.074, ,.020548,-.25740080954473,.0674199862463242,273,4.735,.0200025
South,Native,AlexIsoetes, ,AI1, ,313, ,4.629, , , ,.0565233418944222,273,4.735,.0200025
South,Native,AlexIsoetes, ,AI1, ,416, ,4.886, ,.008772,-.211140158084696,.049029033784546,273,4.735,.0200025
South,Native,AlexIsoetes, ,AI10, , , , , ,.012097,-.226510940554876, ,350,5.586,.013985
South,Native,AlexIsoetes, ,AI10, , , , , , , , ,350,5.586,.013985
South,Native,AlexIsoetes, ,AI10, , , , , , , , ,350,5.586,.013985
South,Native,AlexIsoetes, ,AI10, , , , , , , , ,350,5.586,.013985
South,Native,AlexIsoetes, ,AI10, , , , , , , , ,350,5.586,.013985
South,Native,AlexIsoetes, ,AI10, , , , , , , , ,350,5.586,.013985
South,Native,AlexIsoetes, ,AI10, , , , , , , , ,350,5.586,.013985
South,Native,AlexIsoetes, ,AI10, , , , , , , , ,350,5.586,.013985
South,Native,AlexIsoetes, ,AI10, ,350, ,5.586, ,.015873,-.241363080053096,.0534522483824849,350,5.586,.013985
South,Native,AlexIsoetes, ,AI12, , , , , ,.022388,-.26321121731529, ,166,5.092,.0189272
South,Native,AlexIsoetes, ,AI12, , , , , ,.020548,-.25740080954473, ,166,5.092,.0189272
South,Native,AlexIsoetes, ,AI12, , , , , , , , ,166,5.092,.0189272
South,Native,AlexIsoetes, ,AI12, , , , , ,.008772,-.211140158084696, ,166,5.092,.0189272
South,Native,AlexIsoetes, ,AI12, , , , , ,.012,-.226098626437099, ,166,5.092,.0189272
South,Native,AlexIsoetes, ,AI12, , , , , , , , ,166,5.092,.0189272
South,Native,AlexIsoetes, ,AI12, , , , , , , , ,166,5.092,.0189272
South,Native,AlexIsoetes, ,AI12, ,166, ,5.092, ,.030928,-.287679270214488,.0776150525706333,166,5.092,.0189272
South,Native,AlexIsoetes, ,AI17, , , , , , , , ,430,6.033,.012448
South,Native,AlexIsoetes, ,AI17, , , , , , , , ,430,6.033,.012448
South,Native,AlexIsoetes, ,AI17, , , , , , , , ,430,6.033,.012448
South,Native,AlexIsoetes, ,AI17, , , , , , , , ,430,6.033,.012448
South,Native,AlexIsoetes, ,AI17, , , , , , , , ,430,6.033,.012448
South,Native,AlexIsoetes, ,AI17, ,430, ,6.033, ,.012448,-.227988023553723,.0482242822170412,430,6.033,.012448
South,Native,AlexIsoetes, ,AI18, , , , , , , , ,298,5.11933333333333,.0220086666666667
South,Native,AlexIsoetes, ,AI18, , , , , , , , ,298,5.11933333333333,.0220086666666667
South,Native,AlexIsoetes, ,AI18, , , , , , , , ,298,5.11933333333333,.0220086666666667
South,Native,AlexIsoetes, ,AI18, ,250, ,5.37, ,.032609,-.292127148082198,.0632455532033676,298,5.11933333333333,.0220086666666667
