Lake,Population,Family,Source,Cup#,Ploidy,SexAsex,G1Label,Grandbaby,FinalLength,AgeAtMaturity,GrowthPerDay3mm,Growthperday3toReproduction,DiedOrReproduced
Alexandrina,AlexIsoetes,AI1,Field,1,Triploid,Asex,AI1F,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI1,Field,1,Triploid,Asex,AI1G,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI1,Field,1,Triploid,Asex,AI1E,AI1E-GB,4.351,201,0.028302,0.0458,GRANDBABY
Alexandrina,AlexIsoetes,AI1,Field,1,Triploid,Asex,AI1A1,AI1A1-GB,#NULL!,215,0.022388,#NULL!,GRANDBABY
Alexandrina,AlexIsoetes,AI1,Field,1,Triploid,Asex,AI1B,AI1B-GB,5.074,220,0.020548,0.0686,GRANDBABY
Alexandrina,AlexIsoetes,AI1,Field,1,Triploid,Asex,AI1D,AI1D-GB,4.629,313,#NULL!,#NULL!,GRANDBABY
Alexandrina,AlexIsoetes,AI1,Field,1,Triploid,Asex,AI1H,AI1H-GB,4.886,416,0.008772,0.0660,GRANDBABY
Alexandrina,AlexIsoetes,AI2,Field,2,Diploid,Sex,AI2B,,#NULL!,#NULL!,0.019608,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI2,Field,2,Diploid,Sex,AI2C,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI2,Field,2,Diploid,Sex,AI2D,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI2,Field,2,Diploid,Sex,AI2E,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI2,Field,2,Diploid,Sex,AI2F,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI2,Field,2,Diploid,Sex,AI2G,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI2,Field,2,Diploid,Sex,AI2H,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI2,Field,2,Diploid,Sex,AI2A,AI2A-GB,5.527,362,0.019608,0.0264,GRANDBABY
Alexandrina,AlexIsoetes,AI3,Field,3,Triploid,Asex,AI3A,,#NULL!,#NULL!,0.012000,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI3,Field,3,Triploid,Asex,AI3B,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI3,Field,3,Triploid,Asex,AI3C,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI3,Field,3,Triploid,Asex,AI3D,,#NULL!,#NULL!,0.016393,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI3,Field,3,Triploid,Asex,AI3E,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI3,Field,3,Triploid,Asex,AI3F,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI3,Field,3,Triploid,Asex,AI3G,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI3,Field,3,Triploid,Asex,AI3H,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI4,Field,4,Triploid,Asex,AI4A,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI4,Field,4,Triploid,Asex,AI4B,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI4,Field,4,Triploid,Asex,AI4C,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI4,Field,4,Triploid,Asex,AI4E,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI4,Field,4,Triploid,Asex,AI4H,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI4,Field,4,Triploid,Asex,AI4G,AI4G-GB,4.249,257,0.017751,0.0483,GRANDBABY
Alexandrina,AlexIsoetes,AI4,Field,4,Triploid,Asex,AI4F,AI4F-GB,4.539,359,0.010417,0.0639,GRANDBABY
Alexandrina,AlexIsoetes,AI4,Field,4,Triploid,Asex,AI4D,AI4D-GB,5.335,526,0.006579,0.0762,GRANDBABY
Alexandrina,AlexIsoetes,AI6,Field,6,Triploid,Asex,AI6A,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI6,Field,6,Triploid,Asex,AI6B,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI6,Field,6,Triploid,Asex,AI6E,,#NULL!,#NULL!,0.013216,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI6,Field,6,Triploid,Asex,AI6H,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI6,Field,6,Triploid,Asex,AI6G,AI6G-GB,3.998,212,0.023077,0.0488,GRANDBABY
Alexandrina,AlexIsoetes,AI6,Field,6,Triploid,Asex,AI6C,AI6C-GB,4.957,241,0.015957,0.0935,GRANDBABY
Alexandrina,AlexIsoetes,AI6,Field,6,Triploid,Asex,AI6D,AI6D-GB,5.308,285,0.017241,0.0478,GRANDBABY
Alexandrina,AlexIsoetes,AI6,Field,6,Triploid,Asex,AI6F,AI6F-GB,4.677,310,#NULL!,#NULL!,GRANDBABY
Alexandrina,AlexIsoetes,AI7,Field,7,Triploid,Asex,AI7B,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI7,Field,7,Triploid,Asex,AI7C,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI7,Field,7,Triploid,Asex,AI7A,AI7A-GB,5.076,380,0.021583,0.0211,GRANDBABY
Alexandrina,AlexIsoetes,AI10,Field,10,Triploid,Asex,AI10A,,#NULL!,#NULL!,0.012097,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI10,Field,10,Triploid,Asex,AI10B,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI10,Field,10,Triploid,Asex,AI10C,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI10,Field,10,Triploid,Asex,AI10E,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI10,Field,10,Triploid,Asex,AI10F,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI10,Field,10,Triploid,Asex,AI10G,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI10,Field,10,Triploid,Asex,AI10G,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI10,Field,10,Triploid,Asex,AI10H,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI10,Field,10,Triploid,Asex,AI10D,AI10D-GB,5.586,350,0.015873,0.0347,GRANDBABY
Alexandrina,AlexIsoetes,AI12,Field,12,Triploid,Asex,AI12B,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI12,Field,12,Triploid,Asex,AI12C,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI12,Field,12,Triploid,Asex,AI12D,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI12,Field,12,Triploid,Asex,AI12E,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI12,Field,12,Triploid,Asex,AI12F,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI12,Field,12,Triploid,Asex,AI12G,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI12,Field,12,Triploid,Asex,AI12H,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI12,Field,12,Triploid,Asex,AI12A,AI12A-GB,5.092,166,0.030928,0.0738,GRANDBABY
Alexandrina,AlexIsoetes,AI13,Field,13,Diploid,Sex,AI13B,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI13,Field,13,Diploid,Sex,AI13C,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI13,Field,13,Diploid,Sex,AI13D,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI13,Field,13,Diploid,Sex,AI13E,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI13,Field,13,Diploid,Sex,AI13G,,#NULL!,#NULL!,0.010638,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI13,Field,13,Diploid,Sex,AI13F,AI13F-GB,5.618,380,0.009375,0.0936,GRANDBABY
Alexandrina,AlexIsoetes,AI13,Field,13,Diploid,Sex,AI13A,AI13A-GB,5.016,381,0.012295,0.0366,GRANDBABY
Alexandrina,AlexIsoetes,AI13,Field,13,Diploid,Sex,AI13H,AI13H-GB,4.093,397,0.010638,0.0356,GRANDBABY
Alexandrina,AlexIsoetes,AI16,Field,16,Diploid,Sex,AI16A,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI16,Field,16,Diploid,Sex,AI16B,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI16,Field,16,Diploid,Sex,AI16C,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI16,Field,16,Diploid,Sex,AI16E,,#NULL!,#NULL!,0.030303,#NULL!,DEAD
Alexandrina,AlexIsoetes,AI16,Field,16,Diploid,Sex,AI16G,,#NULL!,#NULL!,#NULL!,#NULL!,DEAD
